BATHRM,HF_BATHRM,HEAT,AC,BEDRM,AYB,EYB,PRICE,GBA,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,WARD,SALEYEAR,RMDL
2,0,Forced Air,1,3,1921.0,1969,875000.0,1815.0,2 Story,Row End,Good Quality,4,Common Brick,Slate,Hardwood,1,2,11,1490,Ward 1,2018.0,1
2,2,Hot Water Rad,0,4,1929.0,1986,745000.0,2174.0,2.5 Story Fin,Single,Good Quality,4,Common Brick,Slate,Hardwood,1,2,12,5400,Ward 4,2013.0,1
3,0,Forced Air,1,3,1951.0,1975,927000.0,1582.0,1 Story,Single,Good Quality,3,Common Brick,Comp Shingle,Hardwood,1,2,12,10492,Ward 4,2016.0,1
3,1,Hot Water Rad,1,5,1925.0,1982,1260000.0,2362.0,2 Story,Single,Good Quality,5,Stucco,Clay Tile,Hardwood,1,1,12,6000,Ward 4,2016.0,0
3,1,Hot Water Rad,1,4,1926.0,1969,1200000.0,2664.0,2.5 Story Fin,Single,Good Quality,5,Common Brick,Slate,Hardwood,1,1,12,6858,Ward 4,2014.0,1
3,1,Forced Air,1,4,1926.0,1982,1222000.0,2578.0,2.5 Story Fin,Single,Good Quality,4,Common Brick,Slate,Hardwood,1,2,12,6201,Ward 4,2015.0,1
4,1,Forced Air,1,5,1926.0,1969,1200000.0,2624.0,2 Story,Single,Good Quality,5,Stucco,Slate,Hardwood,1,1,12,6629,Ward 4,2012.0,1
4,1,Hot Water Rad,1,5,1929.0,1972,1181000.0,4520.0,2.5 Story Fin,Single,Very Good,4,Stucco,Clay Tile,Hardwood,1,4,12,7073,Ward 4,2012.0,0
2,1,Warm Cool,1,3,1953.0,1962,775000.0,1758.0,1 Story,Single,Above Average,3,Common Brick,Slate,Hardwood,1,2,12,6380,Ward 4,2016.0,0
3,1,Warm Cool,1,5,1912.0,1986,890000.0,2103.0,2 Story,Single,Good Quality,4,Common Brick,Slate,Hardwood,2,0,12,4435,Ward 4,2016.0,0
2,0,Hot Water Rad,0,5,1912.0,1969,690000.0,1645.0,2 Story,Row Inside,Good Quality,3,Common Brick,Metal- Sms,Hardwood,1,0,11,2743,Ward 4,2017.0,0
2,0,Hot Water Rad,1,5,1912.0,1986,676000.0,1645.0,2 Story,Row Inside,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,1,11,2800,Ward 4,2015.0,1
2,1,Hot Water Rad,1,4,1912.0,1986,645000.0,1825.0,2 Story,Row Inside,Good Quality,4,Common Brick,Built Up,Hardwood,2,1,24,1838,Ward 4,2013.0,1
3,1,Forced Air,1,3,1912.0,1969,545000.0,1600.0,2 Story,Row End,Good Quality,4,Common Brick,Metal- Sms,Hardwood,1,0,11,2728,Ward 4,2010.0,1
